seq,symbol,side,type,price,qty,order_id,action,ref_id
1,GOOGL,BUY,LIMIT,305.81,465,1,NEW,
2,GOOGL,BUY,LIMIT,305.87,66,2,NEW,
3,AAPL,BUY,LIMIT,255.76,57,3,NEW,
4,MSFT,SELL,LIMIT,401.42,98,4,NEW,
5,SPY,BUY,LIMIT,681.64,70,5,NEW,
6,AMZN,SELL,LIMIT,198.86,77,6,NEW,
7,META,BUY,LIMIT,639.59,43,7,NEW,
8,MSFT,BUY,LIMIT,401.2,25,8,NEW,
9,MSFT,SELL,LIMIT,401.51,70,9,NEW,
10,AMZN,SELL,LIMIT,198.92,76,10,NEW,
11,AAPL,BUY,LIMIT,255.67,440,11,NEW,
12,TSLA,SELL,LIMIT,417.31,39,12,NEW,
13,NVDA,SELL,LIMIT,182.94,100,13,NEW,
14,SPY,BUY,LIMIT,681.5,50,14,NEW,
15,AAPL,SELL,LIMIT,255.9,18,15,NEW,
16,AAPL,BUY,LIMIT,255.86,56,16,NEW,
17,AAPL,SELL,LIMIT,255.91,85,17,NEW,
18,MSFT,BUY,LIMIT,401.46,44,18,NEW,
19,GOOGL,SELL,LIMIT,305.96,41,19,NEW,
20,NVDA,BUY,LIMIT,182.87,41,20,NEW,
21,META,BUY,LIMIT,639.53,23,21,NEW,
22,MSFT,SELL,LIMIT,401.74,14,22,NEW,
23,AAPL,BUY,LIMIT,255.76,62,23,NEW,
24,AAPL,BUY,LIMIT,255.71,21,24,NEW,
25,AAPL,SELL,LIMIT,255.82,13,25,NEW,
26,MSFT,BUY,LIMIT,401.62,668,26,NEW,
27,MSFT,SELL,LIMIT,401.81,3,27,NEW,
28,MSFT,BUY,LIMIT,401.61,79,28,NEW,
29,MSFT,BUY,LIMIT,401.51,20,29,NEW,
30,SPY,SELL,LIMIT,681.86,23,30,NEW,
31,SPY,BUY,LIMIT,681.72,33,31,NEW,
32,MSFT,SELL,LIMIT,401.68,39,32,NEW,
33,GOOGL,BUY,LIMIT,305.75,43,33,NEW,
34,TSLA,SELL,LIMIT,417.54,54,34,NEW,
35,SPY,SELL,LIMIT,681.82,32,35,NEW,
36,TSLA,SELL,LIMIT,417.41,42,36,NEW,
37,AAPL,SELL,LIMIT,255.95,974,37,NEW,
38,AAPL,BUY,LIMIT,255.83,37,38,NEW,
39,AAPL,BUY,LIMIT,255.94,49,39,NEW,
40,SPY,BUY,LIMIT,681.6,88,40,NEW,
41,AMZN,BUY,LIMIT,198.94,23,41,NEW,
42,SPY,BUY,LIMIT,681.49,90,42,NEW,
43,NVDA,BUY,LIMIT,182.83,98,43,NEW,
44,AMZN,SELL,LIMIT,199,31,44,NEW,
45,AAPL,SELL,LIMIT,256.07,429,45,NEW,
46,AAPL,BUY,LIMIT,256.03,65,46,NEW,
47,NVDA,BUY,LIMIT,182.78,81,47,NEW,
48,GOOGL,BUY,LIMIT,305.77,16,48,NEW,
49,TSLA,SELL,LIMIT,417.61,37,49,NEW,
50,SPY,SELL,LIMIT,681.64,73,50,NEW,
51,SPY,BUY,LIMIT,681.58,58,51,NEW,
52,NVDA,BUY,LIMIT,182.8,61,52,NEW,
53,AAPL,BUY,LIMIT,255.98,60,53,NEW,
54,AMZN,SELL,LIMIT,198.97,88,54,NEW,
55,GOOGL,BUY,LIMIT,305.68,981,55,NEW,
56,TSLA,BUY,LIMIT,417.47,93,56,NEW,
57,MSFT,SELL,LIMIT,401.66,7,57,NEW,
58,TSLA,BUY,LIMIT,417.52,70,58,NEW,
59,SPY,BUY,LIMIT,681.46,45,59,NEW,
60,NVDA,BUY,LIMIT,182.92,39,60,NEW,
61,TSLA,BUY,LIMIT,417.38,45,61,NEW,
62,AMZN,SELL,LIMIT,198.96,615,62,NEW,
63,SPY,SELL,LIMIT,681.67,28,63,NEW,
64,MSFT,SELL,LIMIT,401.67,53,64,NEW,
65,AAPL,SELL,LIMIT,255.99,675,65,NEW,
66,AAPL,SELL,LIMIT,256.02,43,66,NEW,
67,NVDA,SELL,LIMIT,182.96,78,67,NEW,
68,AAPL,SELL,LIMIT,255.99,55,68,NEW,
69,MSFT,BUY,LIMIT,401.5,73,69,NEW,
70,TSLA,SELL,LIMIT,417.65,7,70,NEW,
71,TSLA,BUY,LIMIT,417.28,35,71,NEW,
72,AMZN,BUY,LIMIT,198.89,8,72,NEW,
73,GOOGL,SELL,LIMIT,305.78,93,73,NEW,
74,MSFT,SELL,LIMIT,401.64,67,74,NEW,
75,TSLA,BUY,LIMIT,417.51,72,75,NEW,
76,TSLA,SELL,LIMIT,417.53,87,76,NEW,
77,AAPL,BUY,LIMIT,255.93,96,77,NEW,
78,GOOGL,SELL,LIMIT,305.7,10,78,NEW,
79,SPY,SELL,LIMIT,681.46,33,79,NEW,
80,GOOGL,SELL,LIMIT,305.76,67,80,NEW,
81,META,BUY,LIMIT,639.48,62,81,NEW,
82,NVDA,BUY,LIMIT,182.73,16,82,NEW,
83,AAPL,SELL,LIMIT,256.02,302,83,NEW,
84,NVDA,BUY,LIMIT,182.64,1,84,NEW,
85,TSLA,BUY,LIMIT,417.75,94,85,NEW,
86,SPY,SELL,LIMIT,681.48,67,86,NEW,
87,SPY,SELL,LIMIT,681.6,937,87,NEW,
88,GOOGL,SELL,LIMIT,305.61,77,88,NEW,
89,NVDA,BUY,LIMIT,182.67,47,89,NEW,
90,GOOGL,SELL,LIMIT,305.68,16,90,NEW,
91,GOOGL,SELL,LIMIT,305.62,1,91,NEW,
92,META,BUY,LIMIT,639.59,27,92,NEW,
93,MSFT,SELL,LIMIT,401.49,82,93,NEW,
94,AMZN,SELL,LIMIT,198.93,47,94,NEW,
95,AAPL,SELL,LIMIT,256.03,73,95,NEW,
96,TSLA,BUY,LIMIT,417.67,86,96,NEW,
97,NVDA,BUY,LIMIT,182.73,78,97,NEW,
98,NVDA,SELL,LIMIT,182.8,85,98,NEW,
99,AMZN,SELL,LIMIT,198.91,15,99,NEW,
100,AMZN,BUY,LIMIT,198.83,49,100,NEW,
101,GOOGL,SELL,LIMIT,305.62,75,101,NEW,
102,SPY,SELL,LIMIT,681.52,54,102,NEW,
103,AAPL,BUY,LIMIT,255.89,46,103,NEW,
104,TSLA,SELL,LIMIT,418,33,104,NEW,
105,NVDA,BUY,LIMIT,182.77,61,105,NEW,
106,SPY,SELL,LIMIT,681.63,66,106,NEW,
107,MSFT,BUY,LIMIT,401.33,53,107,NEW,
108,AMZN,SELL,LIMIT,198.91,63,108,NEW,
109,AAPL,SELL,LIMIT,255.94,70,109,NEW,
110,MSFT,SELL,LIMIT,401.52,95,110,NEW,
111,META,BUY,LIMIT,639.28,57,111,NEW,
112,MSFT,BUY,LIMIT,401.24,30,112,NEW,
113,NVDA,BUY,LIMIT,182.8,80,113,NEW,
114,AMZN,SELL,LIMIT,198.88,21,114,NEW,
115,NVDA,SELL,LIMIT,182.93,56,115,NEW,
116,TSLA,BUY,LIMIT,417.72,44,116,NEW,
117,NVDA,SELL,LIMIT,182.89,65,117,NEW,
118,TSLA,BUY,LIMIT,417.63,78,118,NEW,
119,SPY,SELL,LIMIT,681.85,34,119,NEW,
120,NVDA,SELL,LIMIT,182.82,563,120,NEW,
121,TSLA,BUY,LIMIT,417.46,25,121,NEW,
122,AMZN,SELL,LIMIT,198.92,42,122,NEW,
123,TSLA,BUY,LIMIT,417.38,77,123,NEW,
124,TSLA,SELL,LIMIT,417.46,83,124,NEW,
125,NVDA,SELL,LIMIT,182.84,65,125,NEW,
126,AMZN,BUY,LIMIT,198.84,96,126,NEW,
127,AAPL,SELL,LIMIT,255.94,18,127,NEW,
128,GOOGL,BUY,LIMIT,305.48,74,128,NEW,
129,AMZN,SELL,LIMIT,198.94,12,129,NEW,
130,TSLA,BUY,LIMIT,417.37,19,130,NEW,
131,SPY,BUY,LIMIT,681.43,320,131,NEW,
132,SPY,BUY,LIMIT,681.52,73,132,NEW,
133,MSFT,BUY,LIMIT,401.31,92,133,NEW,
134,NVDA,BUY,LIMIT,182.64,61,134,NEW,
135,NVDA,BUY,LIMIT,182.71,13,135,NEW,
136,SPY,SELL,LIMIT,681.79,9,136,NEW,
137,AAPL,SELL,LIMIT,255.84,96,137,NEW,
138,MSFT,BUY,LIMIT,401.28,78,138,NEW,
139,MSFT,BUY,LIMIT,401.31,12,139,NEW,
140,GOOGL,BUY,LIMIT,305.46,26,140,NEW,
141,SPY,SELL,LIMIT,681.79,93,141,NEW,
142,AAPL,BUY,LIMIT,255.7,11,142,NEW,
143,AMZN,SELL,LIMIT,198.93,76,143,NEW,
144,NVDA,SELL,LIMIT,182.77,87,144,NEW,
145,SPY,BUY,LIMIT,681.51,90,145,NEW,
146,SPY,SELL,LIMIT,681.65,64,146,NEW,
147,MSFT,SELL,LIMIT,401.43,88,147,NEW,
148,GOOGL,SELL,LIMIT,305.57,73,148,NEW,
149,AMZN,BUY,LIMIT,198.82,21,149,NEW,
150,GOOGL,SELL,LIMIT,305.66,25,150,NEW,
151,GOOGL,SELL,LIMIT,305.64,530,151,NEW,
152,META,BUY,LIMIT,639.32,29,152,NEW,
153,AMZN,BUY,LIMIT,198.8,74,153,NEW,
154,AMZN,SELL,LIMIT,198.83,36,154,NEW,
155,META,BUY,LIMIT,639.33,36,155,NEW,
156,META,SELL,LIMIT,639.45,84,156,NEW,
157,MSFT,SELL,LIMIT,401.27,575,157,NEW,
158,GOOGL,SELL,LIMIT,305.6,3,158,NEW,
159,AMZN,SELL,LIMIT,198.83,13,159,NEW,
160,AMZN,SELL,LIMIT,198.83,75,160,NEW,
161,AMZN,SELL,LIMIT,198.83,9,161,NEW,
162,GOOGL,SELL,LIMIT,305.61,28,162,NEW,
163,NVDA,SELL,LIMIT,182.84,43,163,NEW,
164,META,BUY,LIMIT,639.07,715,164,NEW,
165,SPY,BUY,LIMIT,681.46,61,165,NEW,
166,NVDA,BUY,LIMIT,182.76,77,166,NEW,
167,NVDA,SELL,LIMIT,182.77,27,167,NEW,
168,AAPL,SELL,LIMIT,255.86,96,168,NEW,
169,MSFT,BUY,LIMIT,401.15,31,169,NEW,
170,SPY,SELL,LIMIT,681.83,58,170,NEW,
171,NVDA,BUY,LIMIT,182.65,5,171,NEW,
172,SPY,SELL,LIMIT,681.99,65,172,NEW,
173,NVDA,BUY,LIMIT,182.62,10,173,NEW,
174,AAPL,SELL,LIMIT,255.87,60,174,NEW,
175,SPY,BUY,LIMIT,681.84,21,175,NEW,
176,AAPL,SELL,LIMIT,255.85,48,176,NEW,
177,AAPL,SELL,LIMIT,255.96,22,177,NEW,
178,GOOGL,BUY,LIMIT,305.48,29,178,NEW,
179,NVDA,BUY,LIMIT,182.62,89,179,NEW,
180,AAPL,BUY,LIMIT,255.8,97,180,NEW,
181,MSFT,SELL,LIMIT,401.31,42,181,NEW,
182,SPY,SELL,LIMIT,681.89,632,182,NEW,
183,NVDA,SELL,LIMIT,182.68,56,183,NEW,
184,MSFT,BUY,LIMIT,401.09,84,184,NEW,
185,TSLA,BUY,LIMIT,417.12,737,185,NEW,
186,AMZN,BUY,LIMIT,198.77,564,186,NEW,
187,AAPL,SELL,LIMIT,255.87,5,187,NEW,
188,MSFT,BUY,LIMIT,401.1,10,188,NEW,
189,MSFT,SELL,LIMIT,401.32,11,189,NEW,
190,AAPL,BUY,LIMIT,255.84,48,190,NEW,
191,AAPL,SELL,LIMIT,256,63,191,NEW,
192,NVDA,BUY,LIMIT,182.59,32,192,NEW,
193,AAPL,SELL,LIMIT,255.95,57,193,NEW,
194,AAPL,SELL,LIMIT,255.98,59,194,NEW,
195,TSLA,BUY,LIMIT,417.05,4,195,NEW,
196,NVDA,SELL,LIMIT,182.58,47,196,NEW,
197,AAPL,BUY,LIMIT,255.9,27,197,NEW,
198,META,SELL,LIMIT,639.32,33,198,NEW,
199,AMZN,BUY,LIMIT,198.72,90,199,NEW,
200,AAPL,SELL,LIMIT,255.9,33,200,NEW,
201,TSLA,SELL,LIMIT,417.3,61,201,NEW,
202,SPY,SELL,LIMIT,681.72,100,202,NEW,
203,AMZN,SELL,LIMIT,198.82,223,203,NEW,
204,NVDA,SELL,LIMIT,182.73,40,204,NEW,
205,NVDA,SELL,LIMIT,182.67,16,205,NEW,
206,AMZN,BUY,LIMIT,198.85,86,206,NEW,
207,META,SELL,LIMIT,639.63,99,207,NEW,
208,SPY,SELL,LIMIT,681.66,80,208,NEW,
209,SPY,BUY,LIMIT,681.38,91,209,NEW,
210,AMZN,SELL,LIMIT,198.96,390,210,NEW,
211,TSLA,SELL,LIMIT,417.47,59,211,NEW,
212,META,SELL,LIMIT,639.36,90,212,NEW,
213,AAPL,BUY,LIMIT,255.84,76,213,NEW,
214,META,BUY,LIMIT,639,18,214,NEW,
215,AAPL,SELL,LIMIT,255.88,54,215,NEW,
216,AAPL,SELL,LIMIT,255.84,62,216,NEW,
217,AMZN,BUY,LIMIT,198.9,86,217,NEW,
218,AMZN,BUY,LIMIT,198.8,51,218,NEW,
219,MSFT,BUY,LIMIT,401.17,65,219,NEW,
220,META,SELL,LIMIT,639.03,73,220,NEW,
221,SPY,SELL,LIMIT,681.67,100,221,NEW,
222,AAPL,BUY,LIMIT,255.63,25,222,NEW,
