seq,symbol,side,type,price,qty,peak_qty,order_id,action,ref_id
1,MSFT,BUY,LIMIT,401.2,343,,1,NEW,
2,NVDA,SELL,LIMIT,182.96,76,,2,NEW,
3,AAPL,SELL,LIMIT,255.74,73,,3,NEW,
4,AMZN,SELL,LIMIT,198.8,68,,4,NEW,
5,NVDA,SELL,LIMIT,182.94,13,,5,NEW,
6,TSLA,BUY,LIMIT,417.31,436,,6,NEW,
7,META,BUY,LIMIT,639.43,78,,7,NEW,
8,SPY,SELL,LIMIT,681.94,33,,8,NEW,
9,MSFT,BUY,LIMIT,401.34,942,,9,NEW,
10,NVDA,BUY,LIMIT,182.95,64,,10,NEW,
11,NVDA,SELL,LIMIT,182.95,112,,11,NEW,
12,MSFT,SELL,LIMIT,401.4,95,,12,NEW,
13,MSFT,SELL,LIMIT,401.31,13,,13,NEW,
14,NVDA,BUY,LIMIT,182.96,105,,14,NEW,
15,GOOGL,SELL,LIMIT,305.76,31,,15,NEW,
16,TSLA,SELL,LIMIT,417.33,116,,16,NEW,
17,AAPL,SELL,LIMIT,255.76,104,,17,NEW,
18,GOOGL,BUY,LIMIT,305.66,13,,18,NEW,
19,MSFT,SELL,LIMIT,401.37,74,,19,NEW,
20,SPY,SELL,LIMIT,681.95,74,,20,NEW,
21,AAPL,SELL,LIMIT,255.78,76,,21,NEW,
22,TSLA,SELL,LIMIT,417.09,39,,22,NEW,
23,AMZN,SELL,LIMIT,198.8,15,,23,NEW,
24,AAPL,BUY,LIMIT,255.62,66,,24,NEW,
25,AMZN,SELL,LIMIT,198.81,1148,,25,NEW,
26,MSFT,SELL,LIMIT,401.55,16,,26,NEW,
27,AMZN,BUY,LIMIT,198.78,1949,,27,NEW,
28,AAPL,BUY,LIMIT,255.56,15,,28,NEW,
29,SPY,SELL,LIMIT,682.01,114,,29,NEW,
30,GOOGL,SELL,LIMIT,305.74,100,,30,NEW,
31,SPY,BUY,LIMIT,681.85,61,,31,NEW,
32,META,SELL,LIMIT,639.39,85,,32,NEW,
33,AMZN,BUY,LIMIT,198.83,24,,33,NEW,
34,SPY,BUY,LIMIT,681.59,1950,,34,NEW,
35,TSLA,SELL,LIMIT,417.2,66,,35,NEW,
36,NVDA,SELL,LIMIT,183.11,1134,,36,NEW,
37,SPY,BUY,LIMIT,681.62,79,,37,NEW,
38,AAPL,BUY,LIMIT,255.57,114,,38,NEW,
39,NVDA,BUY,LIMIT,183.03,82,,39,NEW,
40,NVDA,SELL,LIMIT,183.1,25,,40,NEW,
41,MSFT,BUY,LIMIT,401.29,42,,41,NEW,
42,AMZN,BUY,LIMIT,198.78,3,,42,NEW,
43,MSFT,BUY,LIMIT,401.39,72,,43,NEW,
44,MSFT,BUY,LIMIT,401.32,3,,44,NEW,
45,TSLA,BUY,LIMIT,417.27,316,,45,NEW,
46,MSFT,BUY,LIMIT,401.13,118,,46,NEW,
47,MSFT,BUY,LIMIT,401.03,72,,47,NEW,
48,AAPL,BUY,LIMIT,255.52,120,,48,NEW,
49,NVDA,BUY,LIMIT,182.99,16,,49,NEW,
50,NVDA,BUY,LIMIT,183.06,51,,50,NEW,
51,AAPL,SELL,LIMIT,255.62,115,,51,NEW,
52,SPY,SELL,LIMIT,681.96,108,,52,NEW,
53,MSFT,BUY,LIMIT,400.98,104,,53,NEW,
54,NVDA,SELL,LIMIT,183.12,1284,,54,NEW,
55,AAPL,SELL,LIMIT,255.76,449,,55,NEW,
56,NVDA,BUY,LIMIT,183.14,88,,56,NEW,
57,NVDA,SELL,LIMIT,183.21,119,,57,NEW,
58,AAPL,SELL,LIMIT,255.78,100,,58,NEW,
59,MSFT,SELL,LIMIT,401.02,55,,59,NEW,
60,MSFT,SELL,LIMIT,401.01,111,,60,NEW,
61,NVDA,SELL,LIMIT,183.14,49,,61,NEW,
62,AAPL,SELL,LIMIT,255.73,97,,62,NEW,
63,NVDA,SELL,LIMIT,183.14,36,,63,NEW,
64,NVDA,SELL,LIMIT,183.13,82,,64,NEW,
65,NVDA,BUY,LIMIT,183.08,108,,65,NEW,
66,GOOGL,SELL,LIMIT,305.72,8,,66,NEW,
67,GOOGL,BUY,LIMIT,305.71,848,,67,NEW,
68,NVDA,BUY,LIMIT,183.14,93,,68,NEW,
69,TSLA,SELL,LIMIT,417.59,9,,69,NEW,
70,MSFT,BUY,LIMIT,400.88,26,,70,NEW,
71,AMZN,BUY,LIMIT,198.76,6,,71,NEW,
72,MSFT,SELL,LIMIT,401.16,535,,72,NEW,
73,AAPL,SELL,LIMIT,255.69,70,,73,NEW,
74,AMZN,SELL,LIMIT,198.84,5,,74,NEW,
75,GOOGL,SELL,LIMIT,305.72,17,,75,NEW,
76,META,SELL,LIMIT,639.3,45,,76,NEW,
77,SPY,BUY,LIMIT,681.56,56,,77,NEW,
78,SPY,BUY,LIMIT,681.41,14,,78,NEW,
