seq,symbol,side,type,price,qty,order_id,action,ref_id
1,NVDA,SELL,LIMIT,182.93,64,1,NEW,
2,SPY,SELL,LIMIT,681.79,8,2,NEW,
3,META,BUY,LIMIT,639.6,80,3,NEW,
4,TSLA,SELL,LIMIT,417.58,63,4,NEW,
5,META,SELL,LIMIT,639.54,51,5,NEW,
6,TSLA,SELL,LIMIT,417.47,7,6,NEW,
7,MSFT,SELL,LIMIT,401.48,95,7,NEW,
8,SPY,SELL,LIMIT,681.7,54,8,NEW,
9,AMZN,SELL,LIMIT,198.8,59,9,NEW,
10,MSFT,SELL,LIMIT,401.52,67,10,NEW,
11,SPY,SELL,LIMIT,681.73,912,11,NEW,
12,TSLA,BUY,LIMIT,417.45,39,12,NEW,
13,NVDA,BUY,LIMIT,182.82,37,13,NEW,
14,AAPL,SELL,LIMIT,255.79,44,14,NEW,
15,NVDA,SELL,LIMIT,182.84,30,15,NEW,
16,MSFT,SELL,LIMIT,401.5,86,16,NEW,
17,GOOGL,SELL,LIMIT,305.72,96,17,NEW,
18,SPY,BUY,LIMIT,681.52,94,18,NEW,
19,AAPL,BUY,LIMIT,255.63,17,19,NEW,
20,AMZN,BUY,LIMIT,198.72,67,20,NEW,
21,NVDA,SELL,LIMIT,182.98,20,21,NEW,
22,AAPL,BUY,LIMIT,255.63,2,22,NEW,
23,AAPL,SELL,LIMIT,255.69,76,23,NEW,
24,NVDA,BUY,LIMIT,182.96,68,24,NEW,
25,GOOGL,BUY,LIMIT,305.58,24,25,NEW,
26,AMZN,SELL,LIMIT,198.76,69,26,NEW,
27,NVDA,SELL,LIMIT,183.06,5,27,NEW,
28,AAPL,BUY,LIMIT,255.66,10,28,NEW,
29,NVDA,SELL,LIMIT,183.06,87,29,NEW,
30,NVDA,SELL,LIMIT,183.13,47,30,NEW,
31,SPY,SELL,LIMIT,681.57,15,31,NEW,
32,AAPL,SELL,LIMIT,255.71,7,32,NEW,
33,NVDA,SELL,LIMIT,183.2,53,33,NEW,
34,TSLA,BUY,LIMIT,417.23,52,34,NEW,
35,AMZN,BUY,LIMIT,198.65,57,35,NEW,
36,META,BUY,LIMIT,639.47,88,36,NEW,
37,SPY,SELL,LIMIT,681.7,63,37,NEW,
38,AMZN,BUY,LIMIT,198.68,811,38,NEW,
39,AAPL,BUY,LIMIT,255.66,63,39,NEW,
40,AAPL,SELL,LIMIT,255.72,84,40,NEW,
41,AMZN,BUY,LIMIT,198.71,10,41,NEW,
42,AMZN,BUY,LIMIT,198.7,24,42,NEW,
43,TSLA,BUY,LIMIT,417.21,27,43,NEW,
44,AAPL,BUY,LIMIT,255.67,615,44,NEW,
45,MSFT,BUY,LIMIT,401.41,783,45,NEW,
46,NVDA,BUY,LIMIT,183.15,62,46,NEW,
47,GOOGL,BUY,LIMIT,305.64,44,47,NEW,
48,TSLA,SELL,LIMIT,417.48,41,48,NEW,
49,TSLA,SELL,LIMIT,417.34,99,49,NEW,
50,GOOGL,SELL,LIMIT,305.7,6,50,NEW,
51,META,SELL,LIMIT,639.81,56,51,NEW,
52,AAPL,SELL,LIMIT,255.77,60,52,NEW,
53,NVDA,SELL,LIMIT,183.38,95,53,NEW,
54,AMZN,BUY,LIMIT,198.67,83,54,NEW,
55,MSFT,BUY,LIMIT,401.41,43,55,NEW,
56,AMZN,SELL,LIMIT,198.71,91,56,NEW,
57,GOOGL,BUY,LIMIT,305.55,21,57,NEW,
58,NVDA,BUY,LIMIT,183.34,30,58,NEW,
59,TSLA,SELL,LIMIT,417.38,77,59,NEW,
60,TSLA,BUY,LIMIT,417.19,34,60,NEW,
61,NVDA,BUY,LIMIT,183.31,16,61,NEW,
62,AAPL,BUY,LIMIT,255.62,78,62,NEW,
63,SPY,BUY,LIMIT,681.41,74,63,NEW,
64,MSFT,SELL,LIMIT,401.51,34,64,NEW,
65,NVDA,SELL,LIMIT,183.37,915,65,NEW,
66,AMZN,SELL,LIMIT,198.69,393,66,NEW,
67,AMZN,SELL,LIMIT,198.68,92,67,NEW,
68,TSLA,SELL,LIMIT,417.41,79,68,NEW,
69,TSLA,SELL,LIMIT,417.6,91,69,NEW,
70,NVDA,BUY,LIMIT,183.34,82,70,NEW,
71,SPY,BUY,LIMIT,681.52,40,71,NEW,
72,AMZN,BUY,LIMIT,198.58,55,72,NEW,
73,AMZN,SELL,LIMIT,198.64,87,73,NEW,
74,GOOGL,SELL,LIMIT,305.78,100,74,NEW,
75,MSFT,BUY,LIMIT,401.37,82,75,NEW,
76,AAPL,SELL,LIMIT,255.69,46,76,NEW,
77,TSLA,SELL,LIMIT,417.75,32,77,NEW,
78,TSLA,BUY,LIMIT,417.45,4,78,NEW,
79,SPY,SELL,LIMIT,681.8,39,79,NEW,
80,MSFT,SELL,LIMIT,401.39,24,80,NEW,
81,GOOGL,SELL,LIMIT,305.77,37,81,NEW,
82,GOOGL,SELL,LIMIT,305.85,77,82,NEW,
83,NVDA,SELL,LIMIT,183.35,79,83,NEW,
84,SPY,SELL,LIMIT,681.82,11,84,NEW,
85,GOOGL,BUY,LIMIT,305.78,42,85,NEW,
86,GOOGL,SELL,LIMIT,305.86,73,86,NEW,
87,SPY,SELL,LIMIT,681.82,24,87,NEW,
88,MSFT,BUY,LIMIT,401.24,88,88,NEW,
89,AAPL,BUY,LIMIT,255.6,33,89,NEW,
